Trip_ID,Zone Start,Route,Zone End,Direction,Tag_off_hour,Tag_on_hour,Tag_on_minute,Tag_off_minute
98,1.0,573,5.0,Outbound,17.0,14,3,8
99,4.0,577,5.0,Inbound,9.0,6,1,5
100,6.0,560,6.0,Inbound,15.0,11,5,8
101,1.0,555,3.0,Outbound,16.0,12,3,3
102,6.0,560,6.0,Outbound,13.0,14,8,2
103,1.0,566,17.0,Outbound,17.0,0,8,7
104,6.0,562,7.0,Outbound,11.0,8,5,2
105,4.0,557,1.0,Outbound,0.0,14,11,12
106,4.0,554,5.0,Inbound,12.0,8,6,6
107,5.0,552,6.0,Outbound,12.0,9,8,8
108,1.0,573,5.0,Outbound,17.0,14,7,10
109,6.0,563,8.0,Outbound,17.0,13,12,4
110,4.0,573,5.0,Inbound,9.0,6,10,10
111,6.0,555,3.0,Outbound,7.0,7,7,6
112,2.0,555,6.0,Inbound,10.0,6,9,8
113,1.0,555,3.0,Outbound,17.0,13,8,9
114,1.0,555,1.0,Inbound,17.0,14,2,3
115,6.0,570,14.0,Outbound,18.0,13,10,9
116,3.0,578,5.0,Outbound,20.0,16,12,1
117,4.0,560,6.0,Inbound,12.0,8,6,10
118,6.0,570,6.0,Inbound,15.0,12,6,11
119,1.0,555,2.0,Inbound,13.0,10,3,5
120,3.0,555,6.0,Inbound,10.0,7,5,6
121,1.0,555,5.0,Inbound,11.0,7,5,8
122,5.0,566,8.0,Outbound,21.0,17,3,6
123,9.0,567,8.0,Inbound,10.0,6,1,2
124,1.0,555,3.0,Inbound,7.0,7,6,6
125,1.0,571,4.0,Inbound,8.0,7,3,5
126,1.0,555,6.0,Inbound,11.0,7,3,9
127,1.0,551,5.0,Outbound,8.0,5,10,12
128,1.0,555,5.0,Inbound,14.0,11,3,5
129,5.0,555,6.0,Outbound,14.0,10,11,12
130,6.0,562,16.0,Inbound,11.0,7,4,8
131,6.0,563,7.0,Inbound,8.0,14,7,8
132,2.0,573,5.0,Inbound,8.0,17,2,3
133,6.0,553,7.0,Inbound,8.0,18,12,1
134,9.0,573,5.0,Inbound,8.0,1,2,9
135,1.0,579,5.0,Outbound,17.0,13,2,5
136,6.0,562,7.0,Outbound,8.0,20,10,12
137,1.0,561,2.0,Outbound,21.0,17,3,5
138,1.0,572,6.0,Outbound,15.0,12,11,5
139,1.0,569,17.0,Inbound,9.0,6,6,4
140,5.0,552,6.0,Outbound,12.0,9,6,9
141,1.0,555,6.0,Outbound,13.0,10,3,9
142,0.0,555,6.0,Inbound,6.0,5,6,4
143,8.0,554,5.0,Outbound,8.0,13,10,3
144,3.0,555,3.0,Outbound,16.0,12,7,10
145,4.0,554,5.0,Outbound,8.0,5,5,6
146,5.0,554,5.0,Inbound,10.0,6,8,2
147,5.0,554,5.0,Inbound,15.0,12,6,3
148,12.0,571,6.0,Outbound,20.0,18,6,6
149,1.0,555,3.0,Outbound,18.0,15,10,11
150,6.0,550,6.0,Outbound,17.0,13,6,2
151,2.0,554,5.0,Outbound,17.0,17,4,6
152,1.0,569,6.0,Outbound,16.0,13,12,3
153,1.0,555,4.0,Inbound,15.0,12,1,4
154,6.0,578,4.0,Inbound,9.0,6,7,9
155,1.0,575,5.0,Outbound,6.0,6,3,5
156,4.0,553,6.0,Outbound,22.0,18,1,8
157,5.0,574,5.0,Inbound,14.0,17,9,4
158,4.0,578,1.0,Outbound,16.0,12,8,2
159,1.0,555,1.0,Outbound,14.0,11,3,3
160,5.0,572,18.0,Outbound,11.0,8,6,2
161,9.0,570,6.0,Inbound,17.0,15,11,9
162,6.0,560,6.0,Inbound,16.0,13,8,4
163,1.0,561,2.0,Inbound,7.0,7,3,3
164,1.0,553,6.0,Inbound,9.0,6,10,6
165,5.0,554,5.0,Inbound,7.0,6,12,2
166,4.0,550,6.0,Inbound,17.0,14,4,9
167,6.0,560,6.0,Inbound,15.0,12,8,6
168,2.0,555,6.0,Inbound,7.0,7,2,5
169,5.0,553,7.0,Inbound,17.0,13,3,5
170,4.0,578,5.0,Outbound,16.0,13,6,6
171,4.0,571,6.0,Inbound,8.0,23,12,3
172,6.0,562,6.0,Inbound,8.0,8,3,4
173,1.0,579,5.0,Inbound,6.0,6,8,10
174,6.0,553,6.0,Outbound,12.0,9,2,1
175,2.0,555,6.0,Inbound,7.0,7,2,4
176,1.0,569,6.0,Outbound,18.0,14,5,10
177,1.0,573,4.0,Inbound,8.0,12,10,12
178,7.0,563,7.0,Outbound,12.0,8,3,3
179,5.0,552,6.0,Outbound,17.0,14,2,3
180,3.0,578,5.0,Outbound,15.0,14,12,11
181,1.0,555,1.0,Outbound,13.0,10,3,5
182,6.0,553,13.0,Inbound,9.0,5,2,8
183,6.0,565,14.0,Outbound,12.0,9,6,10
184,1.0,569,6.0,Inbound,8.0,10,4,9
185,1.0,575,5.0,Inbound,8.0,22,12,3
186,1.0,571,6.0,Outbound,16.0,13,3,12
187,6.0,563,8.0,Outbound,13.0,10,5,11
188,5.0,577,4.0,Outbound,17.0,14,7,8
189,6.0,560,6.0,Inbound,15.0,12,11,4
190,5.0,575,5.0,Outbound,1.0,6,1,1
191,1.0,555,5.0,Outbound,8.0,22,9,12
192,1.0,555,6.0,Outbound,11.0,7,1,12
193,2.0,555,5.0,Inbound,11.0,8,3,4
194,1.0,573,5.0,Inbound,14.0,11,6,10
195,3.0,550,6.0,Outbound,8.0,8,8,10
196,1.0,579,5.0,Inbound,7.0,6,10,11
197,3.0,555,5.0,Outbound,12.0,9,5,4
198,1.0,561,5.0,Inbound,10.0,15,7,11
199,1.0,575,16.0,Inbound,8.0,15,4,1
200,1.0,555,6.0,Outbound,14.0,11,3,8
201,1.0,571,12.0,Inbound,7.0,7,7,12
202,5.0,552,7.0,Inbound,13.0,10,5,9
203,2.0,555,6.0,Outbound,15.0,18,10,12
204,2.0,555,3.0,Inbound,17.0,13,10,5
205,3.0,577,4.0,Inbound,8.0,21,5,5
206,1.0,573,18.0,Inbound,6.0,5,12,5
207,1.0,555,4.0,Outbound,10.0,7,9,12
208,4.0,552,6.0,Inbound,9.0,5,11,1
209,1.0,555,6.0,Outbound,10.0,11,12,5
210,1.0,555,6.0,Outbound,19.0,15,3,9
211,1.0,571,6.0,Outbound,17.0,13,8,12
212,1.0,555,5.0,Outbound,18.0,15,3,9
213,6.0,560,6.0,Inbound,8.0,0,10,9
214,3.0,554,5.0,Outbound,11.0,12,7,7
215,1.0,555,5.0,Inbound,11.0,8,3,6
216,1.0,573,3.0,Inbound,7.0,6,12,1
217,1.0,555,5.0,Inbound,9.0,6,7,10
218,1.0,555,4.0,Outbound,15.0,12,1,5
219,1.0,555,6.0,Outbound,12.0,8,12,4
220,6.0,574,6.0,Inbound,8.0,5,2,8
221,4.0,555,6.0,Inbound,13.0,10,3,4
222,1.0,577,4.0,Inbound,8.0,22,2,5
223,8.0,562,7.0,Inbound,12.0,8,11,12
224,8.0,577,5.0,Outbound,17.0,14,12,5
225,5.0,555,4.0,Outbound,10.0,7,10,2
226,1.0,573,6.0,Inbound,7.0,6,10,4
227,1.0,555,4.0,Inbound,12.0,8,8,9
228,3.0,555,5.0,Outbound,14.0,11,3,3
229,3.0,572,6.0,Outbound,9.0,6,7,10
230,2.0,555,8.0,Outbound,22.0,11,5,10
231,1.0,566,6.0,Outbound,18.0,14,3,3
232,7.0,563,8.0,Outbound,7.0,6,12,12
233,5.0,565,9.0,Outbound,13.0,6,10,11
234,5.0,553,4.0,Inbound,18.0,15,11,2
235,5.0,552,6.0,Outbound,16.0,15,11,11
236,7.0,576,4.0,Inbound,6.0,6,6,9
237,2.0,555,6.0,Inbound,14.0,11,3,7
238,5.0,560,6.0,Outbound,17.0,11,1,5
239,5.0,562,6.0,Inbound,8.0,7,10,11
240,1.0,555,5.0,Outbound,8.0,18,9,1
241,4.0,560,12.0,Outbound,9.0,6,9,2
242,1.0,566,6.0,Inbound,7.0,6,6,10
243,7.0,563,7.0,Inbound,9.0,6,1,3
244,1.0,551,5.0,Outbound,18.0,15,6,9
245,5.0,572,5.0,Inbound,16.0,13,10,11
246,5.0,552,7.0,Outbound,10.0,7,3,3
247,4.0,578,5.0,Inbound,10.0,7,2,3
248,2.0,555,3.0,Outbound,11.0,7,7,2
249,4.0,576,5.0,Inbound,17.0,14,9,10
250,1.0,555,3.0,Inbound,6.0,6,6,7
251,1.0,570,6.0,Inbound,23.0,20,7,1
252,1.0,579,4.0,Outbound,18.0,15,10,12
253,1.0,573,5.0,Inbound,8.0,1,12,2
254,1.0,551,6.0,Inbound,8.0,18,2,8
255,7.0,570,6.0,Outbound,19.0,15,8,10
256,4.0,577,4.0,Inbound,7.0,7,1,3
257,5.0,562,7.0,Inbound,14.0,11,5,7
258,5.0,550,6.0,Inbound,16.0,13,12,1
259,7.0,552,5.0,Outbound,14.0,7,1,10
260,2.0,555,6.0,Inbound,9.0,6,7,12
261,1.0,555,5.0,Outbound,20.0,17,5,7
262,9.0,577,15.0,Outbound,17.0,13,1,1
263,2.0,555,5.0,Outbound,16.0,13,5,7
264,6.0,560,6.0,Inbound,15.0,12,9,7
265,1.0,555,5.0,Outbound,11.0,8,12,3
266,1.0,566,6.0,Outbound,18.0,15,3,3
267,5.0,550,6.0,Inbound,13.0,9,12,11
268,3.0,555,6.0,Outbound,23.0,20,10,7
269,6.0,560,6.0,Inbound,13.0,9,12,8
270,4.0,555,5.0,Outbound,10.0,7,9,9
271,5.0,561,5.0,Inbound,8.0,23,5,11
272,2.0,555,4.0,Inbound,8.0,15,10,10
273,4.0,552,6.0,Inbound,15.0,12,12,3
274,2.0,551,4.0,Inbound,7.0,7,2,3
275,7.0,563,7.0,Inbound,14.0,10,5,4
276,6.0,560,6.0,Outbound,13.0,9,9,4
277,8.0,550,6.0,Outbound,8.0,7,12,8
278,1.0,555,5.0,Outbound,8.0,8,8,10
279,3.0,555,5.0,Inbound,10.0,7,8,8
280,1.0,581,5.0,Inbound,8.0,17,4,7
281,6.0,560,18.0,Inbound,14.0,10,8,10
282,4.0,579,5.0,Inbound,5.0,22,1,3
283,7.0,581,5.0,Outbound,16.0,13,3,5
284,1.0,573,5.0,Outbound,18.0,15,6,9
285,0.0,560,6.0,Outbound,13.0,10,7,10
286,1.0,555,6.0,Outbound,15.0,12,12,11
287,1.0,555,4.0,Outbound,17.0,12,9,11
288,1.0,555,5.0,Inbound,22.0,19,5,9
289,1.0,555,6.0,Inbound,21.0,18,5,5
290,1.0,575,6.0,Inbound,7.0,6,11,4
291,6.0,560,6.0,Outbound,18.0,15,1,2
292,1.0,581,11.0,Inbound,7.0,6,9,3
293,5.0,554,5.0,Inbound,11.0,8,10,2
294,1.0,555,3.0,Outbound,15.0,20,5,7
295,1.0,581,5.0,Outbound,1.0,16,2,6
296,3.0,554,5.0,Outbound,10.0,6,6,6
297,5.0,553,6.0,Outbound,8.0,1,12,2
298,1.0,555,6.0,Inbound,12.0,9,7,8
299,1.0,555,6.0,Outbound,6.0,6,6,10
300,1.0,555,4.0,Inbound,13.0,11,7,8
301,6.0,561,6.0,Inbound,7.0,7,7,7
302,1.0,579,5.0,Outbound,18.0,15,10,12
303,6.0,574,5.0,Outbound,15.0,12,6,7
304,2.0,573,6.0,Inbound,8.0,7,11,2
305,6.0,560,6.0,Inbound,12.0,8,10,3
306,9.0,579,2.0,Inbound,7.0,8,2,3
307,6.0,561,5.0,Outbound,18.0,15,5,7
308,6.0,550,6.0,Outbound,15.0,12,12,5
309,7.0,563,6.0,Outbound,9.0,5,9,5
310,3.0,579,5.0,Outbound,17.0,14,8,9
311,5.0,553,6.0,Outbound,10.0,7,11,10
312,1.0,555,3.0,Inbound,6.0,6,8,9
313,8.0,567,9.0,Inbound,9.0,15,3,4
314,1.0,577,4.0,Inbound,7.0,6,10,1
315,4.0,555,5.0,Inbound,7.0,7,6,10
316,5.0,566,6.0,Inbound,7.0,7,3,3
317,5.0,553,6.0,Outbound,15.0,11,2,3
318,6.0,562,7.0,Outbound,12.0,9,10,10
319,2.0,576,10.0,Inbound,16.0,13,1,7
320,5.0,550,7.0,Outbound,10.0,20,9,12
321,1.0,573,5.0,Inbound,7.0,6,9,12
322,5.0,574,6.0,Outbound,9.0,11,2,3
323,6.0,562,6.0,Inbound,12.0,8,9,1
324,6.0,563,6.0,Outbound,13.0,10,6,7
325,1.0,555,5.0,Outbound,7.0,7,5,6
326,4.0,555,4.0,Inbound,17.0,14,2,9
327,1.0,555,5.0,Outbound,8.0,16,10,12
328,1.0,555,1.0,Outbound,16.0,12,6,6
329,5.0,552,5.0,Outbound,11.0,16,9,8
330,5.0,552,6.0,Outbound,6.0,6,2,2
331,1.0,555,6.0,Inbound,11.0,8,3,9
332,5.0,555,6.0,Outbound,15.0,11,11,11
333,3.0,579,5.0,Inbound,7.0,7,12,5
334,6.0,560,6.0,Outbound,12.0,9,7,2
335,5.0,554,5.0,Inbound,17.0,13,12,10
336,1.0,575,17.0,Outbound,17.0,14,10,4
337,7.0,563,8.0,Inbound,12.0,13,5,8
338,1.0,555,5.0,Outbound,14.0,11,9,9
339,1.0,566,6.0,Outbound,17.0,13,9,2
340,1.0,555,4.0,Outbound,15.0,1,1,6
341,5.0,560,6.0,Inbound,8.0,5,12,2
342,3.0,555,5.0,Outbound,22.0,18,1,3
343,4.0,550,7.0,Inbound,16.0,13,1,10
344,5.0,550,6.0,Inbound,12.0,8,6,8
345,5.0,552,6.0,Inbound,17.0,14,6,8
346,7.0,563,7.0,Inbound,13.0,14,10,7
347,6.0,572,6.0,Inbound,20.0,17,1,2
348,1.0,577,5.0,Inbound,20.0,17,3,5
349,1.0,577,5.0,Inbound,8.0,11,11,2
350,9.0,567,8.0,Inbound,11.0,8,3,9
351,5.0,552,6.0,Inbound,10.0,7,9,12
352,1.0,577,5.0,Inbound,8.0,7,12,3
353,6.0,560,6.0,Outbound,15.0,12,12,3
354,4.0,555,5.0,Inbound,10.0,7,9,9
355,1.0,551,4.0,Outbound,17.0,14,12,1
356,1.0,555,6.0,Inbound,15.0,12,12,9
357,4.0,555,3.0,Outbound,17.0,14,2,5
358,6.0,562,7.0,Outbound,7.0,6,4,5
359,4.0,555,5.0,Outbound,17.0,14,2,3
360,1.0,555,5.0,Inbound,13.0,10,3,7
361,2.0,561,5.0,Outbound,18.0,15,2,4
362,1.0,555,6.0,Outbound,13.0,10,1,9
363,3.0,555,6.0,Inbound,8.0,19,9,11
364,1.0,571,14.0,Inbound,8.0,16,1,8
365,4.0,554,5.0,Inbound,7.0,6,12,11
366,1.0,555,3.0,Outbound,11.0,7,9,10
367,1.0,551,3.0,Outbound,18.0,15,9,9
368,6.0,550,5.0,Outbound,14.0,11,11,9
369,2.0,555,5.0,Outbound,10.0,7,10,9
370,2.0,555,6.0,Outbound,14.0,19,6,10
371,3.0,574,5.0,Outbound,13.0,9,9,9
372,5.0,574,6.0,Inbound,13.0,10,2,2
373,1.0,566,6.0,Outbound,18.0,15,2,8
374,2.0,569,4.0,Outbound,18.0,14,10,12
375,0.0,563,7.0,Inbound,10.0,7,6,5
376,4.0,563,7.0,Inbound,17.0,14,4,9
377,1.0,555,5.0,Inbound,6.0,9,2,6
378,1.0,573,5.0,Outbound,18.0,14,9,12
379,1.0,555,3.0,Outbound,13.0,9,9,10
380,1.0,554,5.0,Outbound,10.0,7,2,5
381,1.0,576,11.0,Inbound,13.0,10,11,11
382,3.0,555,5.0,Outbound,17.0,14,2,2
383,1.0,555,2.0,Inbound,12.0,9,2,1
384,6.0,572,5.0,Inbound,16.0,13,7,7
385,6.0,550,6.0,Outbound,10.0,6,8,11
386,9.0,563,7.0,Inbound,13.0,10,7,3
387,3.0,555,6.0,Outbound,11.0,7,12,2
388,1.0,579,5.0,Outbound,22.0,18,4,6
389,5.0,553,7.0,Outbound,21.0,17,4,6
390,1.0,555,3.0,Outbound,20.0,16,3,3
391,5.0,556,11.0,Inbound,9.0,6,2,11
392,2.0,555,3.0,Outbound,11.0,7,11,11
393,4.0,554,4.0,Inbound,13.0,10,2,4
394,7.0,563,7.0,Inbound,18.0,15,11,12
395,8.0,567,8.0,Outbound,18.0,15,2,3
396,5.0,550,6.0,Outbound,16.0,7,8,8
397,6.0,565,8.0,Inbound,15.0,12,2,2
398,1.0,555,3.0,Outbound,14.0,11,3,3
399,5.0,573,5.0,Inbound,8.0,10,10,1
400,6.0,560,6.0,Inbound,16.0,13,1,4
401,1.0,555,3.0,Outbound,15.0,12,4,7
402,5.0,566,6.0,Outbound,18.0,15,12,1
403,7.0,563,6.0,Inbound,13.0,9,8,2
404,3.0,555,5.0,Inbound,13.0,10,3,3
405,6.0,563,7.0,Outbound,10.0,6,5,6
406,1.0,576,13.0,Outbound,15.0,12,9,5
407,7.0,562,1.0,Inbound,13.0,10,6,1
408,2.0,555,6.0,Inbound,21.0,17,4,8
409,1.0,571,6.0,Outbound,18.0,15,11,3
410,1.0,555,6.0,Outbound,16.0,12,1,8
411,6.0,553,8.0,Inbound,9.0,6,2,5
412,8.0,576,3.0,Inbound,10.0,7,10,8
413,6.0,553,7.0,Outbound,17.0,23,10,1
414,2.0,555,6.0,Outbound,16.0,22,12,12
415,1.0,569,6.0,Inbound,7.0,6,12,5
416,4.0,555,3.0,Outbound,8.0,1,3,3
417,5.0,572,6.0,Outbound,19.0,16,9,9
418,3.0,555,6.0,Outbound,14.0,11,11,5
419,1.0,566,4.0,Inbound,8.0,5,3,4
420,6.0,565,8.0,Inbound,11.0,8,7,3
421,6.0,560,15.0,Inbound,15.0,12,12,8
422,1.0,577,5.0,Inbound,8.0,5,4,6
423,5.0,553,7.0,Outbound,22.0,18,12,1
424,6.0,560,6.0,Outbound,20.0,17,12,8
425,4.0,550,6.0,Outbound,8.0,9,3,3
426,1.0,555,5.0,Inbound,11.0,8,3,6
427,0.0,566,6.0,Outbound,18.0,14,6,12
428,1.0,555,1.0,Inbound,16.0,12,2,5
429,4.0,555,5.0,Inbound,13.0,9,9,9
430,8.0,567,9.0,Inbound,11.0,7,9,10
431,3.0,566,8.0,Outbound,17.0,14,6,1
432,6.0,560,6.0,Outbound,11.0,8,6,3
433,6.0,550,6.0,Inbound,23.0,19,7,10
434,2.0,555,4.0,Inbound,9.0,5,10,11
435,1.0,555,3.0,Inbound,13.0,10,3,4
436,6.0,562,16.0,Outbound,8.0,23,7,1
437,1.0,573,5.0,Inbound,22.0,19,4,7
438,6.0,560,6.0,Outbound,9.0,5,7,9
439,1.0,573,5.0,Outbound,16.0,13,10,12
440,1.0,555,6.0,Outbound,9.0,15,4,9
441,1.0,555,6.0,Inbound,13.0,10,3,8
442,5.0,555,3.0,Outbound,15.0,11,6,9
443,4.0,567,8.0,Outbound,10.0,6,3,5
444,6.0,560,6.0,Outbound,16.0,13,5,6
445,3.0,555,6.0,Outbound,20.0,1,3,8
446,1.0,579,5.0,Outbound,17.0,14,10,12
447,7.0,563,7.0,Outbound,18.0,15,10,3
448,5.0,572,6.0,Inbound,10.0,7,9,10
449,1.0,555,6.0,Outbound,15.0,12,8,4
450,9.0,562,6.0,Inbound,12.0,9,3,1
451,6.0,573,5.0,Inbound,8.0,11,7,3
452,5.0,555,6.0,Outbound,19.0,16,6,8
453,4.0,551,6.0,Inbound,8.0,21,1,7
454,6.0,560,6.0,Inbound,17.0,13,11,1
455,8.0,571,4.0,Outbound,22.0,19,9,1
456,7.0,563,8.0,Outbound,11.0,8,9,10
457,1.0,555,5.0,Outbound,17.0,14,2,5
458,0.0,573,5.0,Outbound,18.0,23,1,2
459,6.0,560,6.0,Inbound,15.0,12,10,3
460,2.0,555,6.0,Outbound,15.0,12,11,1
461,1.0,581,6.0,Inbound,8.0,6,12,6
462,6.0,563,7.0,Inbound,9.0,6,5,2
463,1.0,550,5.0,Outbound,12.0,9,2,5
464,4.0,576,5.0,Outbound,19.0,15,6,6
465,4.0,561,6.0,Inbound,11.0,8,12,3
466,4.0,554,5.0,Inbound,8.0,5,1,3
467,5.0,577,5.0,Inbound,8.0,21,12,6
468,1.0,575,6.0,Inbound,6.0,6,2,9
469,12.0,551,6.0,Inbound,5.0,23,1,2
470,6.0,574,12.0,Inbound,14.0,11,7,2
471,5.0,552,6.0,Inbound,9.0,6,10,9
472,1.0,555,3.0,Outbound,21.0,18,8,9
473,1.0,555,5.0,Outbound,12.0,9,8,11
474,1.0,555,6.0,Outbound,15.0,11,10,3
475,1.0,573,4.0,Inbound,6.0,5,12,3
476,5.0,560,15.0,Outbound,16.0,13,10,5
477,6.0,560,6.0,Inbound,16.0,12,6,4
478,1.0,555,6.0,Inbound,15.0,12,3,9
479,7.0,563,8.0,Outbound,15.0,12,4,6
480,1.0,551,4.0,Inbound,8.0,22,12,1
481,2.0,569,6.0,Outbound,15.0,12,12,12
482,1.0,566,6.0,Outbound,10.0,7,1,11
483,5.0,569,6.0,Outbound,16.0,13,12,2
484,1.0,555,5.0,Inbound,13.0,10,3,6
485,2.0,551,5.0,Inbound,6.0,5,11,12
486,5.0,553,6.0,Inbound,11.0,7,4,6
487,8.0,567,8.0,Inbound,1.0,20,12,9
488,2.0,573,5.0,Inbound,17.0,13,1,4
489,6.0,560,6.0,Outbound,8.0,13,11,9
490,1.0,555,1.0,Inbound,13.0,10,3,4
491,5.0,572,6.0,Outbound,18.0,15,8,8
492,5.0,552,5.0,Outbound,10.0,6,1,3
493,6.0,560,6.0,Inbound,16.0,13,8,9
494,6.0,560,6.0,Inbound,10.0,7,1,5
495,4.0,555,6.0,Outbound,16.0,13,11,4
496,6.0,562,7.0,Outbound,13.0,10,8,9
497,3.0,555,6.0,Outbound,13.0,9,9,10
498,9.0,567,8.0,Outbound,20.0,16,3,9
499,2.0,576,3.0,Inbound,10.0,7,11,10
500,1.0,561,6.0,Outbound,11.0,7,9,3
501,6.0,560,6.0,Inbound,17.0,14,12,2
502,5.0,572,6.0,Outbound,11.0,8,4,5
503,6.0,562,7.0,Outbound,15.0,11,4,5
504,3.0,555,3.0,Outbound,15.0,12,3,2
505,1.0,571,17.0,Outbound,17.0,14,7,4
506,2.0,555,5.0,Inbound,9.0,7,12,12
507,6.0,560,6.0,Outbound,11.0,8,12,7
508,6.0,552,9.0,Inbound,11.0,15,4,6
509,5.0,550,6.0,Outbound,7.0,7,8,7
510,7.0,562,7.0,Outbound,9.0,16,5,4
511,9.0,567,16.0,Inbound,8.0,14,4,4
512,1.0,573,5.0,Outbound,17.0,13,7,10
513,1.0,555,5.0,Inbound,14.0,11,3,6
